d_h,depth,dropout,epochs,hidden_dim,lr,use_chembert,use_rdkit,weight_decay,test_loss,Metrics/MAE,Metrics/MAPE,Metrics/RMSE
300,2,0.1,50,128,0.001,False,False,0.0,0.05465512660642465,5.974181652069092,114.44783210754395,7.74375220692059
300,2,0.1,50,128,0.001,False,False,0.01,0.04586785721282164,5.1141486167907715,827.8140068054199,6.607657712222579
300,2,0.1,50,128,0.001,False,True,0.0,0.02324259285038958,3.704224109649658,92.07615852355957,5.074748351524322
300,2,0.1,50,128,0.001,False,True,0.01,0.045419503934681416,5.414870262145996,161.88043355941772,7.043948223367796
300,2,0.1,50,128,0.001,True,False,0.0,0.05326461046934128,6.10720157623291,762.739896774292,7.211698184078573
